dataset_name,data_update_frequency,dataset_date
iom-dtm-iraq-dataset-round-15,-1,[2015-02-26T00:00:00 TO 2015-02-26T23:59:59]
niger-displacement-data-baseline-assessment-iom-dtm,180,[2019-12-04T00:00:00 TO 2023-04-09T23:59:59]
dtm-displacement-idps-returnees-iom-dtm,-2,[2020-11-10T00:00:00 TO 2020-11-10T23:59:59]
zimbabwe-displacement-data-tsholotsho-district-baseline-assessment-iom-dtm,-1,[2018-11-30T00:00:00 TO 2018-11-30T23:59:59]
sudan-registration-data-iom-dtm,-1,[2019-09-30T00:00:00 TO 2019-09-30T23:59:59]
drc-displacement-data-sankuru-province-baseline-assessment-iom-dtm,-2,[2018-08-31T00:00:00 TO 2018-08-31T23:59:59]
drc-displacement-data-kasai-oriental-province-baseline-assessment-iom-dtm,-2,[2019-02-01T00:00:00 TO 2019-02-16T23:59:59]
mozambique-displacement-data-site-assessment-idai-iom-dtm,180,[2022-09-01T00:00:00 TO 2022-09-30T23:59:59]
fiji-evacuation-tracking-monitoring-cycle-2,-1,[2016-05-31T00:00:00 TO 2016-06-21T23:59:59]
ecuador-displacement-idps-site-assessment-iom-dtm,-1,[2017-02-02T00:00:00 TO 2017-02-10T23:59:59]
peru-displacement-idps-site-assessment-iom-dtm2,-1,[2017-05-01T00:00:00 TO 2017-05-31T23:59:59]
npm-bangladesh-round-9-baseline-master-list-march-2018,30,[2018-02-05T00:00:00 TO 2018-03-25T23:59:59]
needs-and-population-monitoring-npm-bangladesh-round-7-site-assessment,30,[2017-11-11T00:00:00 TO 2018-12-12T23:59:59]
needs-and-population-monitoring-npm-bangladesh-round-10-site-assessment,30,[2018-04-01T00:00:00 TO 2018-05-20T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-round-15-site-assessment,90,[2019-05-01T00:00:00 TO 2019-06-24T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-round-13-site-assessment,30,[2018-11-04T00:00:00 TO 2018-12-20T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-round-12-site-assessment,30,[2018-09-23T00:00:00 TO 2018-10-10T23:59:59]
libya-dtm-report-first-round,-1,[2016-01-27T00:00:00 TO 2016-01-27T23:59:59]
iom-dtm-nepal-site-profiles-20150429,,[2015-04-29T00:00:00 TO 2015-04-29T23:59:59]
iom-car-dashboard-french-august-2016,90,[2016-09-01T00:00:00 TO 2016-09-01T23:59:59]
iom-dtm-iraq-dataset-round-19,-1,[2015-04-25T00:00:00 TO 2015-04-25T23:59:59]
somalia-dtm-flow-monitoring-dataset,-1,[2016-10-01T00:00:00 TO 2016-12-31T23:59:59]
malawi-flood-response-site-assessment-round-1,-1,[2015-01-12T00:00:00 TO 2015-03-15T23:59:59]
rd25-dtm-master-list-mar2016,-1,[2010-12-30T00:00:00 TO 2016-03-31T23:59:59]
haiti-displacement-data-site-assessment-iom-dtm,-2,[2010-01-15T00:00:00 TO 2021-08-27T23:59:59]
etm-cycle-1-information-package-for-tc-winston-in-fiji,-1,[2016-03-09T00:00:00 TO 2016-03-23T23:59:59]
iom-dtm-nepal-dashboard-20150429,,[2015-04-29T00:00:00 TO 2015-04-29T23:59:59]
cameroon-baseline-assessment-data-iom-dtm,180,[2015-11-10T00:00:00 TO 2023-08-29T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-round-11-site-assessment,30,[2018-06-02T00:00:00 TO 2018-06-14T23:59:59]
south-sudan-village-assessment-multi-sector-services-availability-iom-dtm,-2,[2019-08-01T00:00:00 TO 2020-03-31T23:59:59]
yemen-displacement-population-movement-migrants-and-returns-iom-dtm,-1,[2019-01-01T00:00:00 TO 2019-12-31T23:59:59]
haiti-iom-dtm-datasets-site-assessment-data,-1,[2017-06-20T00:00:00 TO 2017-06-20T23:59:59]
iraq-returnee-data-iom-dtm,180,[2021-03-01T00:00:00 TO 2023-08-31T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-uav-imagery-and-gis-package-by-camp-july-2019,90,[2019-07-23T00:00:00 TO 2019-07-23T23:59:59]
drc-displacement-data-lomami-province-baseline-assessment-iom-dtm,-2,[2018-10-01T00:00:00 TO 2018-10-01T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-uav-imagery-and-gis-package-by-camp-march-2019,30,[2019-03-17T00:00:00 TO 2019-03-17T23:59:59]
drc-displacement-data-kasai-central-province-baseline-assessment-iom-dtm,-2,[2020-12-01T00:00:00 TO 2020-12-31T23:59:59]
madagascar-baseline-assessment-data-iom-dtm,-1,[2018-08-01T00:00:00 TO 2018-08-31T23:59:59]
iom-topline-figures,-1,[2019-01-31T00:00:00 TO 2019-01-31T23:59:59]
kazakhstan-displacement-data-baseline-assessment-iom-dtm,365,[2023-03-01T00:00:00 TO 2023-04-30T23:59:59]
somalia-displacement-idps-emergency-trends-tracking-ett-gedo-region-iom-dtm,30,[2022-01-23T00:00:00 TO 2024-01-10T23:59:59]
south-sudan-displacement-data-site-assessment-iom-dtm,-1,[2020-02-01T00:00:00 TO 2021-09-30T23:59:59]
drc-displacement-idps-returnees-m23-crisis-north-kivu-province-baseline-assessment-iom-dtm,90,[2022-11-01T00:00:00 TO 2023-11-19T23:59:59]
mozambique-displacement-data-daily-sites-tracking-iom-dtm,-1,[2019-11-08T00:00:00 TO 2019-11-08T23:59:59]
drc-displacement-data-ituri-province-baseline-assessment-iom-dtm,365,[2018-10-01T00:00:00 TO 2023-08-31T23:59:59]
needs-and-population-monitoring-npm-bangladesh-round-8-site-assessment,30,[2017-12-24T00:00:00 TO 2018-01-30T23:59:59]
2018_flows_to_europe_overview_dataset,365,[2018-01-01T00:00:00 TO 2018-12-31T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-round-17-site-assessment,90,[2020-02-20T00:00:00 TO 2020-02-20T23:59:59]
ethiopia-displacement-data-east-west-wellega-rra-iom-dtm,-1,[2019-04-01T00:00:00 TO 2019-04-10T23:59:59]
nigeria-displacement-data-north-central-west-baeline-assessment-iom-dtm,365,[2019-06-21T00:00:00 TO 2021-12-30T23:59:59]
nepal-displacement-idps-baseline-assessment-floods2020-iom-dtm,-1,[2020-07-15T00:00:00 TO 2020-07-24T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-uav-imagery-and-gis-package-by-camp-january-2019,90,[2019-01-23T00:00:00 TO 2019-01-23T23:59:59]
yemen-emergency-event-tracking-jun-aug-2018-iom-dtm,-1,[2018-06-01T00:00:00 TO 2018-08-28T23:59:59]
drc-displacement-countrywide-monitoring-baseline-assessment-iom-dtm,90,[2023-08-01T00:00:00 TO 2023-10-18T23:59:59]
malawi-displacement-data-site-assessment-cyclone-freddy-iom-dtm,365,[2023-03-31T00:00:00 TO 2023-04-27T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-uav-imagery-and-gis-package-by-camp-november-2019,90,[2019-08-08T00:00:00 TO 2019-10-10T23:59:59]
uganda-displacement-data-multi-hazard-response-drr-platform-iom-dtm,30,[2022-01-01T00:00:00 TO 2023-12-29T23:59:59]
ethiopia-displacement-northern-region-tigray-idps-village-assessment-survey-iom-dtm,180,[2023-04-27T00:00:00 TO 2023-06-29T23:59:59]
nigeria-displacement-data-north-central-west-location-assessment-iom-dtm,-2,[2019-09-04T00:00:00 TO 2021-12-30T23:59:59]
indonesia-displacement-data-sulawesi-earthquake-site-assessment-iom-dtm,-1,[2018-12-31T00:00:00 TO 2018-12-31T23:59:59]
greece-and-italy-nationalities-of-arrival-2015,-1,[2015-01-01T00:00:00 TO 2015-12-31T23:59:59]
somalia-iom-dtm-dataset-round-3,-1,[2016-10-01T00:00:00 TO 2017-12-31T23:59:59]
peru-dtmr3,-1,[2017-06-16T00:00:00 TO 2017-07-17T23:59:59]
needs-and-population-monitoring-npm-round-6-for-rohingya-population-in-cox-s-bazar-district,-1,[2017-10-15T00:00:00 TO 2017-10-15T23:59:59]
dtm-task-force-on-population-movement-tfpm-yemen-16th-report-october-2017,-1,[2017-10-08T00:00:00 TO 2017-10-08T23:59:59]
vanuatu-displacement-data-manaro-2018-iom-dtm,30,[2018-10-20T00:00:00 TO 2019-02-28T23:59:59]
dtm-dominica-preliminary-report-on-schools-used-as-shelter,30,[2017-10-14T00:00:00 TO 2017-10-14T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-round-14-site-assessment,90,[2018-12-09T00:00:00 TO 2019-02-13T23:59:59]
drc-displacement-eastern-monitoring-baseline-assessment-iom-dtm,180,[2023-08-03T00:00:00 TO 2023-09-12T23:59:59]
ethiopia-displacement-data-village-assessment-iom-dtm,180,[2021-12-01T00:00:00 TO 2023-09-02T23:59:59]
burundi-baseline-assessment-data-iom-dtm,180,[2016-01-31T00:00:00 TO 2023-07-17T23:59:59]
iom-dtm-iraq-dataset-round-30,-1,[2015-10-01T00:00:00 TO 2015-10-01T23:59:59]
kenya-internally-displaced-people-due-to-drought,180,[2022-10-31T00:00:00 TO 2023-04-30T23:59:59]
iom-dtm-iraq-dataset-round-12,-1,[2015-01-15T00:00:00 TO 2015-01-15T23:59:59]
somalia-drought-displacement-tracking,-1,[2016-12-01T00:00:00 TO 2017-01-31T23:59:59]
somalia-displacement-idps-emergency-trends-tracking-ett-iom-dtm,30,[2022-09-17T00:00:00 TO 2024-01-10T23:59:59]
mozambique-displacement-multi-sectoral-location-assessment-kenneth-iom-dtm,-1,[2019-11-08T00:00:00 TO 2019-11-08T23:59:59]
nigeria-displacement-data-north-central-west-site-assessment-iom-dtm,-2,[2019-09-04T00:00:00 TO 2023-01-31T23:59:59]
sudan-displacement-ag-geneina-emergency-event-tracking-idps-iom-dtm,180,[2021-02-24T00:00:00 TO 2021-12-22T23:59:59]
zimbabwe-idps-cyclone-idai-village-assessment-iom-dtm,-1,[2021-11-12T00:00:00 TO 2021-11-30T23:59:59]
sudan-2021-multisector-needs-analysis-msna,365,[2021-08-31T00:00:00 TO 2021-08-31T23:59:59]
malawi-displacement-data-site-assessment-idai-iom-dtm,-2,[2019-04-07T00:00:00 TO 2019-04-07T23:59:59]
kenya-displacement-idps-site-assessment-iom-dtm,-1,[2015-04-01T00:00:00 TO 2021-04-15T23:59:59]
dtm-dominica-round-1,14,[2017-10-19T00:00:00 TO 2017-10-19T23:59:59]
mali-baseline-assessment-data-iom-dtm,180,[2017-12-31T00:00:00 TO 2023-09-30T23:59:59]
yemen-displacement-data-task-force-on-population-movement-iom-dtm,-1,[2018-08-31T00:00:00 TO 2018-08-31T23:59:59]
libya-baseline-assessment-data-iom-dtm,365,[2015-12-01T00:00:00 TO 2022-12-31T23:59:59]
sudan-2022-multisector-needs-assessment-msna,365,[2022-06-01T00:00:00 TO 2022-07-31T23:59:59]
nigeria-site-assessment-data,180,[2015-01-01T00:00:00 TO 2022-11-19T23:59:59]
ukraine-displacement-data-returnees-iom-dtm,90,[2022-04-11T00:00:00 TO 2023-09-25T23:59:59]
ethiopia-displacement-northern-region-tigray-idps-site-assessment-iom-dtm,180,[2020-12-22T00:00:00 TO 2023-06-28T23:59:59]
dtm-lebanon-migrant-presence-monitoring-mpm,180,[2023-04-01T00:00:00 TO 2023-06-30T23:59:59]
sudan-displacement-situation-idps-iom-dtm,30,[2023-04-15T00:00:00 TO 2024-01-21T23:59:59]
ethiopia-baseline-assessment-data-iom-dtm,180,[2017-05-09T00:00:00 TO 2023-09-02T23:59:59]
mozambique-displacement-data-baseline-assessment-northern-mozambique-crisis-iom-dtm,180,[2022-02-01T00:00:00 TO 2023-08-31T23:59:59]
philippines-displacement-data-mindanao-earthquake-site-assessment-iom-dtm,-2,[2019-12-21T00:00:00 TO 2019-12-21T23:59:59]
car-displacement-data-site-assessment-iom-dtm,-1,[2019-05-05T00:00:00 TO 2021-06-30T23:59:59]
honduras-displacement-idps-hurricane-eta-and-iota-response-site-assessment-iom-dtm,-1,[2020-11-16T00:00:00 TO 2020-11-22T23:59:59]
sudan-displacement-data-idps-iom-dtm,365,[2020-01-20T00:00:00 TO 2023-03-31T23:59:59]
sudan-returnee-data-iom-dtm,365,[2020-01-20T00:00:00 TO 2023-03-31T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-teknaf-para-mapping,90,[2018-05-01T00:00:00 TO 2018-12-19T23:59:59]
iom-dtm-iraq-dataset-round-23,-1,
burundi-displacement-data-emergency-event-tracking-iom-dtm,30,[2020-03-02T00:00:00 TO 2024-01-07T23:59:59]
cameroon-displacement-idps-msna-iom-dtm,180,[2021-07-07T00:00:00 TO 2022-08-24T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-round-16-site-assessment,90,[2019-08-21T00:00:00 TO 2019-10-10T23:59:59]
mozambique-settlement-shapefiles,-1,[2015-02-01T00:00:00 TO 2015-02-01T23:59:59]
ukraine-idp-estimates,90,[2022-03-09T00:00:00 TO 2023-09-25T23:59:59]
lebanon-displacement-data-idp-tracking-iom-dtm,7,[2023-10-10T00:00:00 TO 2024-01-16T23:59:59]
south-sudan-displacement-data-idps-returnees-baseline-assessment-iom-dtm,180,[2018-04-30T00:00:00 TO 2023-10-10T23:59:59]
nigeria-location-assessment-data,180,[2016-11-01T00:00:00 TO 2022-03-28T23:59:59]
yemen-displacement-daily-tracking-idps-returnees-iom-dtm,30,[2019-01-01T00:00:00 TO 2024-01-20T23:59:59]
libya-migration-data-migrants-baseline-assessment-iom-dtm,180,[2023-03-31T00:00:00 TO 2023-06-30T23:59:59]
sudan-2022-multisector-needs-assessment-msna-data-analysis,365,[2022-06-01T00:00:00 TO 2022-07-31T23:59:59]
chad-site-village-assessment-lac-province-data-iom-dtm,365,[2017-08-21T00:00:00 TO 2023-05-08T23:59:59]
ukraine-displacement-data-baseline-assessment-iom-dtm,30,[2022-02-24T00:00:00 TO 2023-12-31T23:59:59]
ukraine-displacement-data-baseline-assessment-raion-level-iom-dtm,30,[2022-02-24T00:00:00 TO 2023-12-31T23:59:59]
